,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
119,4,1.0,1.0,2.0,140.0,1,60,118
120,3,1.0,2.0,2.0,63.0,1,100,599
121,7,4.0,1.5,3.0,299.0,3,1125,38
122,7,2.0,2.0,3.0,265.0,28,1124,139
123,2,1.0,2.0,1.0,78.0,60,1124,19
124,2,1.0,1.0,1.0,105.0,1,1125,245
125,1,1.0,1.0,1.0,53.0,28,1125,36
126,3,2.0,1.0,2.0,95.0,91,270,45
127,4,1.0,1.5,1.0,150.0,2,1125,205
128,4,2.0,1.0,3.0,145.0,2,1125,207
129,2,1.0,1.0,0.0,70.0,1,5,125
130,6,2.0,1.5,6.0,165.0,1,7,18
131,2,1.0,1.0,1.0,60.0,1,1125,69
132,2,1.0,1.0,1.0,67.0,28,1125,37
133,8,3.0,2.5,4.0,900.0,4,1125,41
134,2,1.0,1.5,1.0,99.0,1,1125,300
135,1,1.0,1.0,1.0,235.0,31,365,2
136,2,1.0,2.5,1.0,100.0,1,1125,210
137,3,1.0,1.0,2.0,213.0,29,1125,6
138,5,2.0,2.0,3.0,293.0,91,1125,4
139,5,2.0,2.0,3.0,312.0,29,1125,6
140,3,1.0,1.0,2.0,217.0,91,1125,6
141,3,1.0,1.0,2.0,244.0,29,1125,10
142,4,1.0,1.0,1.0,130.0,1,1125,507
143,2,1.0,1.5,2.0,85.0,1,30,240
144,3,1.0,1.5,2.0,70.0,1,30,268
145,4,2.0,1.5,2.0,230.0,7,1125,1
146,2,1.0,1.0,1.0,100.0,2,1124,71
147,6,2.0,1.0,3.0,250.0,2,1125,137
148,2,1.0,1.0,2.0,110.0,91,1125,222
149,1,1.0,1.0,1.0,76.0,2,1125,5
150,2,1.0,1.0,1.0,135.0,91,1125,148
151,2,1.0,1.0,2.0,114.0,1,7,1
152,5,2.0,2.0,3.0,312.0,29,1125,34
153,2,1.0,2.5,1.0,70.0,91,1125,143
154,2,1.0,1.0,1.0,120.0,2,1125,38
155,6,2.0,2.0,4.0,500.0,1,1125,7
156,4,2.0,2.0,3.0,350.0,2,14,190
157,2,0.0,1.0,1.0,150.0,3,1125,34
158,2,1.0,1.0,1.0,80.0,91,1125,45
159,2,0.0,1.0,1.0,165.0,5,1125,102
160,6,2.0,1.0,2.0,300.0,2,1125,7
161,4,1.0,1.0,1.0,195.0,28,1125,168
162,3,1.0,1.0,2.0,220.0,29,1125,3
163,5,2.0,2.0,3.0,312.0,29,1125,27
164,2,1.0,1.0,1.0,175.0,30,365,27
165,2,1.0,1.0,1.0,112.0,2,1125,173
166,5,2.0,2.0,2.0,425.0,2,75,162
167,2,1.0,1.0,1.0,57.0,1,28,143
168,4,1.0,1.0,1.0,175.0,28,1125,69
169,2,1.0,1.0,1.0,95.0,91,1125,23
170,2,1.0,1.0,1.0,164.0,29,365,86
171,2,1.0,1.0,2.0,135.0,2,14,129
172,2,1.0,1.0,1.0,119.0,1,1125,393
173,2,0.0,1.0,1.0,140.0,3,1100,27
174,2,1.0,1.0,1.0,52.0,60,1125,12
175,1,1.0,2.5,1.0,40.0,2,1125,35
176,10,4.0,2.5,6.0,450.0,3,7,9
177,4,1.0,1.0,2.0,119.0,28,365,121
178,6,2.0,1.0,4.0,299.0,28,365,142
179,2,1.0,1.0,1.0,85.0,2,1125,12
180,4,1.0,1.0,2.0,280.0,3,1125,77
181,2,2.0,1.0,1.0,200.0,2,30,26
182,3,1.0,1.0,1.0,160.0,3,365,5
183,4,1.0,1.0,2.0,150.0,180,1125,100
184,2,1.0,1.0,1.0,65.0,4,1125,55
185,2,1.0,1.0,1.0,139.0,28,1125,51
186,2,1.0,1.5,1.0,75.0,1,90,258
187,2,1.0,1.0,1.0,65.0,4,1124,71
188,3,1.0,1.0,2.0,175.0,30,1125,42
189,2,1.0,2.0,1.0,85.0,1,1125,75
190,1,1.0,1.0,1.0,140.0,2,90,177
191,7,3.0,2.0,3.0,695.0,2,75,178
192,8,4.0,1.5,4.0,249.0,2,365,93
193,10,3.0,3.5,5.0,450.0,28,1125,14
194,2,0.0,1.0,1.0,49.0,1,14,133
195,8,3.0,2.0,4.0,139.0,2,14,49
