,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
0,100%,,6.0,2,Entire home/apt,1.0,1.0,1.0,145.0,$60.00,$0.00,3,730,106,42.329809999999995,-71.09559,Boston,02119,MA
1,100%,,6.0,4,Entire home/apt,1.0,1.0,2.0,169.0,$80.00,$0.00,3,730,115,42.32994,-71.09351,Boston,02119,MA
2,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,99.0,$250.00,"$1,000.00",32,365,24,42.359190000000005,-71.06265,Boston,02108,MA
3,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$250.00,"$1,000.00",91,365,30,42.3584,-71.06185,Boston,02108,MA
4,100%,,11.0,3,Entire home/apt,0.0,1.0,1.0,84.0,$150.00,$500.00,90,1125,9,42.34973,-71.08792,Boston,02115,MA
5,100%,,11.0,3,Entire home/apt,0.0,1.0,1.0,179.0,$100.00,$500.00,33,1125,78,42.34961,-71.08904,Boston,02115,MA
6,100%,,11.0,2,Entire home/apt,0.0,1.0,1.0,125.0,$145.00,$500.00,91,1125,2,42.36352,-71.05075,Boston,02109,MA
7,94%,,25.0,7,Entire home/apt,3.0,1.0,3.0,150.0,$175.00,$100.00,32,90,52,42.32329,-71.0621,Boston,02125,MA
8,100%,,4.0,1,Private room,1.0,,1.0,148.0,$21.00,$0.00,2,90,315,42.34496,-71.07486,Boston,02116,MA
9,100%,,1.0,5,Entire home/apt,2.0,2.0,3.0,290.0,$0.00,$0.00,2,30,103,42.363659999999996,-71.05023,Boston,02109,MA
10,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,185.0,$60.00,$200.00,3,365,18,42.31557,-71.11483,Boston,02130,MA
11,100%,,4.0,2,Entire home/apt,1.0,1.0,1.0,221.0,$25.00,$0.00,2,21,93,42.37834,-71.06663,Boston,02129,MA
12,67%,,1.0,2,Private room,1.0,1.5,1.0,95.0,,,6,180,75,42.3151,-71.11108,Boston,02130,MA
13,100%,,4.0,2,Entire home/apt,1.0,1.0,1.0,184.0,$25.00,$0.00,2,21,82,42.37655,-71.06676999999999,Boston,02129,MA
14,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,125.0,$100.00,,3,180,129,42.37404,-71.06118000000001,Charlestown,02129,MA
15,100%,,5.0,2,Private room,1.0,1.0,1.0,75.0,$0.00,$0.00,2,28,141,42.32584,-71.08927,Boston,02119,MA
16,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$250.00,"$1,000.00",32,365,18,42.35712,-71.0618,Boston,02108,MA
17,100%,,12.0,3,Entire home/apt,1.0,1.0,1.0,110.0,$250.00,"$1,000.00",32,260,44,42.358670000000004,-71.06331999999999,Boston,02108,MA
18,100%,,5.0,2,Private room,1.0,1.0,1.0,79.0,$0.00,$0.00,2,5,120,42.32614,-71.0884,Boston,02119,MA
19,90%,,1.0,2,Private room,1.0,1.0,1.0,140.0,,,2,730,54,42.37853,-71.06177,Boston,02129,MA
20,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,175.0,,,5,60,41,42.35937,-71.13156,Boston,02134,MA
21,100%,,6.0,6,Entire home/apt,2.0,1.0,3.0,225.0,$85.00,$0.00,3,365,226,42.32965,-71.09503000000001,Boston,02119,MA
22,100%,,1.0,10,Entire home/apt,4.0,2.0,5.0,200.0,$80.00,$500.00,2,7,147,42.32158,-71.09047,Boston,02119,MA
23,100%,,1.0,1,Private room,1.0,1.0,1.0,85.0,,,30,180,42,42.3132,-71.11832,Boston,02130,MA
24,100%,,2.0,2,Entire home/apt,1.0,1.0,1.0,90.0,$60.00,$100.00,2,180,386,42.31732,-71.10834,Boston,02130,MA
25,100%,,1.0,2,Private room,1.0,1.0,1.0,110.0,$50.00,$125.00,3,31,191,42.31864,-71.10641,Boston,02130,MA
26,,,1.0,5,Entire home/apt,1.0,1.0,3.0,300.0,$35.00,$500.00,45,150,68,42.28143,-71.12576,Boston,02131,MA
27,100%,,1.0,5,Private room,1.0,1.0,1.0,95.0,$60.00,$300.00,2,1125,250,42.365390000000005,-71.05438000000001,Boston,02113,MA
28,100%,,4.0,1,Private room,1.0,,1.0,105.0,$26.00,$0.00,2,365,316,42.34643,-71.07503,Boston,02116,MA
29,100%,,2.0,1,Private room,1.0,0.0,1.0,55.0,,,28,365,101,42.28145,-71.12925,Boston,02131,MA
30,100%,,2.0,4,Entire home/apt,2.0,1.0,3.0,200.0,$100.00,$500.00,1,365,323,42.330659999999995,-71.03984,Boston,02127,MA
31,96%,,95.0,4,Entire home/apt,1.0,1.0,1.0,167.0,$105.00,$500.00,29,1125,92,42.33814,-71.08001,Boston,02118,MA
32,100%,,1.0,1,Private room,1.0,1.5,1.0,80.0,,,1,1125,27,42.28719,-71.16816,Boston,02132,MA
33,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$150.00,"$1,000.00",30,365,17,42.35881,-71.06546999999999,Boston,02114,MA
34,100%,,10.0,6,Entire home/apt,2.0,2.0,2.0,196.0,$125.00,$200.00,29,365,280,42.29929,-71.05996999999999,Boston,02122,MA
35,100%,,2.0,2,Private room,1.0,1.0,1.0,99.0,$15.00,$150.00,2,29,311,42.3398,-71.07853,Boston,02118,MA
36,100%,,4.0,2,Entire home/apt,1.0,1.0,1.0,193.0,$70.00,$100.00,3,90,405,42.34349,-71.0768,Boston,02118,MA
37,96%,,95.0,2,Entire home/apt,0.0,1.0,2.0,167.0,$105.00,$500.00,29,1125,111,42.33824,-71.08171999999999,Boston,02118,MA
38,,,1.0,9,Entire home/apt,4.0,2.0,6.0,250.0,$100.00,$200.00,5,8,5,42.32443,-71.10651999999999,Boston,02130,MA
39,100%,,3.0,1,Private room,1.0,1.0,1.0,60.0,$30.00,$100.00,91,180,24,42.30088,-71.0819,Boston,02121,MA
40,86%,,1.0,2,Private room,1.0,1.0,1.0,71.0,,,3,120,311,42.31713,-71.10965999999999,Boston,02130,MA
41,,,1.0,2,Private room,1.0,1.0,1.0,200.0,$50.00,$100.00,2,120,16,42.3092,-71.11836,Boston,02130,MA
42,,,1.0,2,Private room,1.0,1.5,1.0,62.0,$25.00,$150.00,3,10,9,42.30511,-71.10643,Boston,02130,MA
43,100%,,4.0,2,Private room,1.0,1.0,1.0,148.0,$24.00,$0.00,2,125,175,42.34523,-71.07282,Boston,02116,MA
44,94%,,25.0,9,Entire home/apt,5.0,2.0,5.0,175.0,$175.00,$100.00,32,90,67,42.31419,-71.06000999999999,Boston,02125,MA
45,94%,,25.0,6,Entire home/apt,2.0,2.5,2.0,168.0,$150.00,$100.00,32,90,53,42.31167,-71.06168000000001,Boston,02125,MA
46,94%,,25.0,5,Entire home/apt,2.0,1.0,2.0,125.0,$150.00,$100.00,32,90,54,42.32189,-71.06183,Boston,02125,MA
47,94%,,25.0,8,Entire home/apt,3.0,1.0,5.0,142.0,$150.00,$100.00,32,90,59,42.31324,-71.06241999999999,Boston,02125,MA
48,100%,,2.0,4,Private room,2.0,1.0,2.0,110.0,,,1,1125,266,42.30335,-71.10497,Boston,02130,MA
49,100%,,1.0,4,Private room,2.0,1.5,2.0,152.0,$75.00,$0.00,3,8,94,42.288470000000004,-71.05476999999999,Boston,02124,MA
50,94%,,25.0,5,Entire home/apt,2.0,1.0,2.0,125.0,$150.00,$100.00,32,180,50,42.3228,-71.06184,Boston,02125,MA
51,,,1.0,2,Entire home/apt,1.0,1.0,1.0,149.0,$50.00,,3,1125,20,42.34171,-71.14851,Boston,02135,MA
52,90%,,3.0,2,Entire home/apt,1.0,1.0,1.0,210.0,$80.00,$500.00,180,1125,33,42.33818,-71.06463000000001,Boston,02118,MA
53,94%,,25.0,6,Entire home/apt,3.0,1.0,4.0,125.0,$150.00,$100.00,32,90,37,42.29118,-71.15316,Boston,02132,MA
54,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,175.0,,,3,365,169,42.37808,-71.06343000000001,Boston,02129,MA
55,100%,,1.0,1,Private room,1.0,1.0,1.0,188.0,$175.00,"$1,000.00",1,6,7,42.33477,-71.04995,Boston,02127,MA
56,96%,,95.0,4,Entire home/apt,1.0,1.0,1.0,163.0,$105.00,$500.00,91,1125,117,42.33923,-71.08140999999999,Boston,02118,MA
57,100%,,12.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$250.00,"$1,000.00",91,365,19,42.35893,-71.06331,Boston,02108,MA
58,100%,,2.0,4,Entire home/apt,1.0,1.0,2.0,100.0,$25.00,,2,60,369,42.37755,-71.0628,Charlestown,02129,MA
59,,,1.0,2,Entire home/apt,1.0,1.5,1.0,135.0,$50.00,,5,90,1,42.30957,-71.10629,Boston,02130,MA
60,100%,,2.0,10,Entire home/apt,4.0,2.5,5.0,550.0,$110.00,$300.00,3,90,71,42.30581,-71.1126,Boston,02130,MA
61,90%,,2.0,1,Private room,1.0,1.0,1.0,25.0,,,90,365,5,42.29424,-71.13183000000001,Roslindale,02131,MA
62,100%,,2.0,2,Private room,1.0,1.0,1.0,65.0,$50.00,$200.00,2,14,195,42.30681,-71.11052,Boston,02130,MA
63,,,1.0,2,Private room,1.0,1.0,2.0,50.0,$40.00,$0.00,2,1125,142,42.28588,-71.12491,Roslindale,02131,MA
64,100%,,4.0,4,Entire home/apt,2.0,2.0,2.0,347.0,$90.00,$150.00,3,92,398,42.34121,-71.07571,Boston,02118,MA
65,100%,,6.0,4,Entire home/apt,1.0,1.0,1.0,169.0,$80.00,$0.00,3,90,54,42.328520000000005,-71.09539000000001,Boston,02119,MA
66,100%,,6.0,2,Entire home/apt,1.0,1.0,1.0,149.0,$60.00,$0.00,3,30,54,42.32819,-71.09405,Boston,02119,MA
67,100%,,2.0,4,Entire home/apt,1.0,2.0,2.0,275.0,$100.00,$500.00,2,1125,74,42.35628,-71.06141,Boston,02111,MA
68,100%,,3.0,2,Private room,1.0,1.0,2.0,79.0,$30.00,$100.00,91,1125,7,42.29996,-71.0806,Boston,02121,MA
69,100%,,3.0,1,Private room,1.0,1.0,1.0,61.0,$30.00,$100.00,91,1125,26,42.29822,-71.07621,Boston,02121,MA
70,100%,,3.0,6,Entire home/apt,3.0,1.0,3.0,239.0,$100.00,$250.00,3,1000,149,42.28882,-71.13951,Boston,02131,MA
71,100%,,1.0,5,Entire home/apt,2.0,2.0,2.0,385.0,$100.00,$500.00,2,28,8,42.34367,-71.0708,Boston,02118,MA
72,100%,,1.0,4,Entire home/apt,1.0,1.0,2.0,125.0,$50.00,$200.00,2,30,392,42.36853,-71.05363,Boston,02109,MA
73,100%,,3.0,2,Private room,1.0,1.5,1.0,90.0,$15.00,$0.00,2,1124,58,42.2909,-71.13024,Roslindale,02131,MA
74,100%,,3.0,3,Entire home/apt,1.0,1.0,1.0,119.0,$50.00,$150.00,3,1125,90,42.29053,-71.14106,Boston,02131,MA
75,100%,,7.0,2,Entire home/apt,0.0,1.0,1.0,195.0,$125.00,$400.00,3,1120,46,42.342859999999995,-71.07339,Boston,02118,MA
76,100%,,4.0,2,Private room,1.0,1.0,1.0,156.0,$45.00,$100.00,3,90,280,42.34146,-71.07641,Boston,02118,MA
77,100%,,3.0,2,Private room,1.0,1.0,1.0,120.0,$80.00,$0.00,1,14,81,42.33269,-71.04536,Boston,02127,MA
78,100%,,4.0,1,Private room,1.0,1.0,1.0,140.0,$26.00,$0.00,2,1125,255,42.34644,-71.07481,Boston,02116,MA
79,100%,,1.0,3,Entire home/apt,2.0,1.0,2.0,170.0,$60.00,$185.00,2,30,87,42.38362,-71.02023,Boston,02128,MA
80,,,2.0,3,Entire home/apt,1.0,1.0,1.0,125.0,,,91,1125,8,42.36076,-71.06399,Boston,02114,MA
81,100%,,3.0,2,Private room,1.0,1.0,1.0,80.0,$0.00,$0.00,1,6,40,42.31218,-71.10473,Boston,02130,MA
82,100%,,2.0,2,Entire home/apt,1.0,1.0,1.0,90.0,$60.00,$100.00,2,180,321,42.317479999999996,-71.10819000000001,Jamaica Plain,02130,MA
83,100%,,2.0,3,Entire home/apt,0.0,1.0,1.0,155.0,$95.00,$300.00,4,366,96,42.34352,-71.09614,Boston,02215,MA
84,,,1.0,2,Entire home/apt,,1.0,1.0,176.0,,,1,1125,0,42.34022,-71.075,Boston,02118,MA
85,100%,,3.0,1,Private room,1.0,1.0,1.0,100.0,$60.00,$500.00,3,365,164,42.34502,-71.0803,Boston,02115,MA
86,100%,,3.0,1,Private room,1.0,1.0,1.0,100.0,$60.00,$500.00,3,365,116,42.34373,-71.08224,Boston,02115,MA
87,100%,,12.0,2,Entire home/apt,1.0,2.0,1.0,95.0,$150.00,"$1,000.00",32,260,32,42.33285,-71.10115,Boston,02120,MA
88,100%,,1.0,8,Entire home/apt,4.0,2.0,6.0,439.0,$150.00,$400.00,2,90,73,42.32051,-71.11216,Boston,02130,MA
89,,,5.0,2,Private room,1.0,1.0,1.0,60.0,,,1,10,344,42.29444,-71.11995,Boston,02131,MA
90,100%,,4.0,6,Private room,4.0,2.5,4.0,70.0,$50.00,$0.00,1,1125,209,42.27176,-71.16759,Boston,02132,MA
91,100%,,4.0,3,Private room,2.0,1.5,2.0,90.0,$40.00,$100.00,1,30,245,42.30777,-71.11626,Boston,02130,MA
92,90%,,2.0,1,Private room,1.0,1.0,1.0,26.0,,,90,365,8,42.29317,-71.13016,Boston,02131,MA
93,100%,,1.0,2,Private room,1.0,1.0,2.0,99.0,,,1,5,248,42.353840000000005,-71.16795,Brighton,02135,MA
94,100%,,1.0,4,Entire home/apt,2.0,1.0,3.0,136.0,$120.00,$800.00,91,91,28,42.30693,-71.10789,Boston,02130,MA
95,84%,,20.0,4,Entire home/apt,1.0,1.0,2.0,167.0,$105.00,$500.00,29,1125,119,42.33852,-71.07985,Boston,02118,MA
96,,,1.0,2,Entire home/apt,1.0,1.0,1.0,165.0,$65.00,$0.00,2,365,94,42.338429999999995,-71.07685,Boston,02118,MA
97,100%,,15.0,5,Entire home/apt,1.0,1.0,4.0,149.0,$95.00,$200.00,28,365,144,42.3651,-71.05365,Boston,02109,MA
98,100%,,1.0,4,Entire home/apt,2.0,1.5,2.0,121.0,$75.00,$100.00,5,13,15,42.324729999999995,-71.10792,Jamaica Plain,02130,MA
99,,,1.0,2,Entire home/apt,1.0,1.0,1.0,200.0,$50.00,,2,365,65,42.36105,-71.06593000000001,Boston,02114,MA
100,100%,,7.0,2,Entire home/apt,0.0,1.0,1.0,160.0,$125.00,$400.00,3,1122,36,42.34405,-71.07352,Boston,02118,MA
101,,,1.0,3,Entire home/apt,1.0,1.0,1.0,199.0,$40.00,,1,5,35,42.34853,-71.08549000000001,Boston,02115,MA
102,99%,,7.0,4,Private room,1.0,2.0,3.0,76.0,$25.00,$100.00,1,45,554,42.30838,-71.04694,Dorchester,02125,MA
103,100%,,1.0,4,Entire home/apt,2.0,1.0,2.0,147.0,$75.00,$0.00,3,1125,247,42.34567,-71.13922,Boston,02135,MA
104,99%,,7.0,1,Private room,1.0,2.0,1.0,47.0,$23.00,$100.00,1,100,408,42.30922,-71.04564,Dorchester,02125,MA
105,100%,,5.0,1,Private room,1.0,1.0,1.0,65.0,$0.00,$0.00,91,180,39,42.32497,-71.08949,Boston,02119,MA
106,100%,,5.0,1,Private room,1.0,1.0,1.0,67.0,,,91,180,37,42.32642,-71.09013,Boston,02119,MA
107,100%,,5.0,1,Private room,1.0,1.0,1.0,70.0,$0.00,$0.00,30,180,18,42.32465,-71.08869,Boston,02119,MA
108,100%,,2.0,6,Private room,3.0,3.0,4.0,350.0,,$350.00,29,1125,25,42.33937,-71.08026,Boston,02118,MA
109,100%,,15.0,2,Entire home/apt,1.0,1.0,1.0,99.0,$85.00,$200.00,28,365,232,42.36482,-71.05371,Boston,02108,MA
110,100%,,1.0,1,Private room,1.0,1.0,1.0,68.0,$50.00,$0.00,28,186,102,42.37963,-71.06192,Boston,02129,MA
111,100%,,3.0,2,Private room,1.0,2.5,1.0,80.0,,,1,1125,311,42.308440000000004,-71.0464,Boston,02125,MA
112,99%,,7.0,3,Private room,1.0,2.0,3.0,75.0,$25.00,$100.00,1,1125,547,42.30977,-71.04715,Dorchester,02125,MA
113,99%,,7.0,3,Private room,1.0,1.0,2.0,83.0,$25.00,$100.00,1,1125,60,42.30811,-71.0462,Boston,02125,MA
114,,,1.0,1,Private room,1.0,1.0,1.0,75.0,$50.00,$250.00,28,90,15,42.27572,-71.13014,Roslindale,02131,MA
115,100%,,3.0,1,Private room,1.0,2.5,1.0,60.0,$10.00,$0.00,1,1125,45,42.310190000000006,-71.04829000000001,Dorchester,02125,MA
116,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,109.0,$50.00,$200.00,2,364,38,42.38159,-71.07892,Boston,02129,MA
117,100%,,1.0,4,Entire home/apt,2.0,2.0,2.0,350.0,$200.00,$500.00,3,30,12,42.37203,-71.06165,Charlestown,02129,MA
118,99%,,7.0,3,Private room,1.0,2.0,2.0,77.0,$25.00,$100.00,1,120,554,42.30945,-71.04555,Dorchester,02125,MA
119,100%,,3.0,4,Entire home/apt,1.0,1.0,2.0,140.0,$120.00,$0.00,1,60,118,42.3484,-71.15696,Boston,02135,MA
120,99%,,7.0,3,Private room,1.0,2.0,2.0,63.0,$25.00,$100.00,1,100,599,42.3105,-71.04812,Dorchester,02125,MA
121,60%,,1.0,7,Entire home/apt,4.0,1.5,3.0,299.0,,,3,1125,38,42.3789,-71.06118000000001,Charlestown,02129,MA
122,,,0.0,7,Entire home/apt,2.0,2.0,3.0,265.0,$200.00,$0.00,28,1124,139,42.35049,-71.06985999999999,Boston,02116,MA
123,100%,,4.0,2,Private room,1.0,2.0,1.0,78.0,$0.00,$0.00,60,1124,19,42.32502,-71.09479,Boston,02119,MA
124,100%,,1.0,2,Private room,1.0,1.0,1.0,105.0,$15.00,$0.00,1,1125,245,42.34017,-71.04763,Boston,02127,MA
125,100%,,2.0,1,Private room,1.0,1.0,1.0,53.0,$40.00,,28,1125,36,42.281940000000006,-71.13337,Boston,02131,MA
126,100%,,2.0,3,Entire home/apt,2.0,1.0,2.0,95.0,$150.00,$0.00,91,270,45,42.34923,-71.17173000000001,Boston,02135,MA
127,100%,,2.0,4,Entire home/apt,1.0,1.5,1.0,150.0,,$300.00,2,1125,205,42.32371,-71.09458000000001,Boston,02119,MA
128,100%,,2.0,4,Entire home/apt,2.0,1.0,3.0,145.0,$50.00,$0.00,2,1125,207,42.31338,-71.11719000000001,Boston,02130,MA
129,100%,,1.0,2,Private room,1.0,1.0,0.0,70.0,$30.00,,1,5,125,42.290409999999994,-71.05853,Boston,02122,MA
130,100%,,1.0,6,Entire home/apt,2.0,1.5,6.0,165.0,$30.00,$0.00,1,7,18,42.31227,-71.10086,Boston,02130,MA
131,100%,,3.0,2,Private room,1.0,1.0,1.0,60.0,$22.00,,1,1125,69,42.27754,-71.14348000000001,Boston,02132,MA
132,100%,,2.0,2,Private room,1.0,1.0,1.0,67.0,$40.00,,28,1125,37,42.282090000000004,-71.13335,Boston,02131,MA
133,100%,,1.0,8,Entire home/apt,3.0,2.5,4.0,900.0,$200.00,"$1,000.00",4,1125,41,42.34364,-71.07024,Boston,02118,MA
134,100%,,2.0,2,Private room,1.0,1.5,1.0,99.0,$20.00,$100.00,1,1125,300,42.355090000000004,-71.16242,Boston,02135,MA
135,100%,,4.0,1,Entire home/apt,1.0,1.0,1.0,235.0,$200.00,$200.00,31,365,2,42.349470000000004,-71.09265,Boston,02215,MA
136,100%,,3.0,2,Private room,1.0,2.5,1.0,100.0,,,1,1125,210,42.30958,-71.04791999999999,Boston,02125,MA
137,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,,29,1125,6,42.3446,-71.10172,Boston,02215,MA
138,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,293.0,$100.00,,91,1125,4,42.36449,-71.069,Boston,02114,MA
139,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,312.0,$100.00,,29,1125,6,42.365120000000005,-71.06926,Boston,02114,MA
140,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,217.0,$100.00,,91,1125,6,42.36325,-71.06736,Boston,02114,MA
141,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,244.0,$100.00,,29,1125,10,42.35131,-71.06351,Boston,02111,MA
142,100%,,3.0,4,Entire home/apt,1.0,1.0,1.0,130.0,$15.00,$0.00,1,1125,507,42.300259999999994,-71.11180999999999,Boston,02130,MA
143,100%,,4.0,2,Private room,1.0,1.5,2.0,85.0,$40.00,$100.00,1,30,240,42.30885,-71.11643000000001,Boston,02130,MA
144,100%,,4.0,3,Private room,1.0,1.5,2.0,70.0,$40.00,$100.00,1,30,268,42.30968,-71.1176,Boston,02130,MA
145,,,1.0,4,Entire home/apt,2.0,1.5,2.0,230.0,$100.00,"$1,000.00",7,1125,1,42.36056,-71.07141,Boston,02114,MA
146,100%,,4.0,2,Private room,1.0,1.0,1.0,100.0,$40.00,$100.00,2,1124,71,42.34066,-71.05117,Boston,02127,MA
147,100%,,4.0,6,Entire home/apt,2.0,1.0,3.0,250.0,$100.00,$300.00,2,1125,137,42.34098,-71.05023,Boston,02127,MA
148,90%,,2.0,2,Private room,1.0,1.0,2.0,110.0,,,91,1125,222,42.35706,-71.06618,Boston,02108,MA
149,,,1.0,1,Private room,1.0,1.0,1.0,76.0,$15.00,$100.00,2,1125,5,42.311609999999995,-71.04613,Boston,02125,MA
150,90%,,2.0,2,Private room,1.0,1.0,1.0,135.0,,,91,1125,148,42.3568,-71.06749,Boston,02108,MA
151,,,1.0,2,Entire home/apt,1.0,1.0,2.0,114.0,$60.00,,1,7,1,42.34001,-71.15543000000001,Boston,02135,MA
152,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,312.0,$100.00,,29,1125,34,42.3509,-71.06321,Boston,02111,MA
153,100%,,6.0,2,Private room,1.0,2.5,1.0,70.0,$20.00,$0.00,91,1125,143,42.315020000000004,-71.06115,Boston,02125,MA
154,100%,,1.0,2,Private room,1.0,1.0,1.0,120.0,,,2,1125,38,42.307109999999994,-71.10582,Boston,02130,MA
155,100%,,1.0,6,Entire home/apt,2.0,2.0,4.0,500.0,$100.00,$500.00,1,1125,7,42.33535,-71.04741,Boston,02127,MA
156,100%,,3.0,4,Entire home/apt,2.0,2.0,3.0,350.0,$100.00,$500.00,2,14,190,42.34179,-71.05274,Boston,02127,MA
157,,,1.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$25.00,,3,1125,34,42.35046,-71.08894000000001,Boston,02115,MA
158,,,1.0,2,Private room,1.0,1.0,1.0,80.0,,,91,1125,45,42.35136,-71.12615,Boston,02134,MA
159,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,165.0,$0.00,$0.00,5,1125,102,42.35672,-71.07146999999999,Boston,02108,MA
160,,,1.0,6,Entire home/apt,2.0,1.0,2.0,300.0,$60.00,$300.00,2,1125,7,42.35447,-71.06011,Boston,02111,MA
161,100%,,1.0,4,Entire home/apt,1.0,1.0,1.0,195.0,$95.00,$200.00,28,1125,168,42.364290000000004,-71.05452,Boston,02113,MA
162,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,220.0,$100.00,,29,1125,3,42.35136,-71.06236,Boston,02111,MA
163,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,312.0,$100.00,,29,1125,27,42.35164,-71.06215,Boston,02111,MA
164,100%,,7.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$225.00,$400.00,30,365,27,42.34415,-71.07273,Boston,02118,MA
165,100%,,1.0,2,Private room,1.0,1.0,1.0,112.0,$10.00,$0.00,2,1125,173,42.30073,-71.11431,Boston,02130,MA
166,100%,,21.0,5,Entire home/apt,2.0,2.0,2.0,425.0,$140.00,$400.00,2,75,162,42.34924,-71.08453,Boston,02115,MA
167,100%,,4.0,2,Private room,1.0,1.0,1.0,57.0,$25.00,$100.00,1,28,143,42.28192,-71.09514,Boston,02126,MA
168,91%,,11.0,4,Entire home/apt,1.0,1.0,1.0,175.0,$125.00,,28,1125,69,42.34032,-71.07571999999999,Boston,02118,MA
169,100%,,1.0,2,Private room,1.0,1.0,1.0,95.0,$0.00,$750.00,91,1125,23,42.33041,-71.0914,Boston,02119,MA
170,96%,,95.0,2,Entire home/apt,1.0,1.0,1.0,164.0,$105.00,$500.00,29,365,86,42.33671,-71.07545999999999,Boston,02118,MA
171,100%,,3.0,2,Entire home/apt,1.0,1.0,2.0,135.0,$45.00,$0.00,2,14,129,42.311440000000005,-71.11864,Boston,02130,MA
172,100%,,5.0,2,Entire home/apt,1.0,1.0,1.0,119.0,$65.00,,1,1125,393,42.34643,-71.07092,Boston,02116,MA
173,100%,,7.0,2,Entire home/apt,0.0,1.0,1.0,140.0,$125.00,$400.00,3,1100,27,42.34189,-71.07254,Boston,02118,MA
174,89%,,3.0,2,Entire home/apt,1.0,1.0,1.0,52.0,,,60,1125,12,42.3438,-71.1563,Brighton,02135,MA
175,100%,,2.0,1,Private room,1.0,2.5,1.0,40.0,,,2,1125,35,42.27965,-71.13606,Boston,02131,MA
176,100%,,1.0,10,Entire home/apt,4.0,2.5,6.0,450.0,$100.00,$200.00,3,7,9,42.30704,-71.10337,Boston,02130,MA
177,100%,,15.0,4,Entire home/apt,1.0,1.0,2.0,119.0,$85.00,$300.00,28,365,121,42.36485,-71.05233,Boston,02108,MA
178,100%,,15.0,6,Entire home/apt,2.0,1.0,4.0,299.0,$95.00,$300.00,28,365,142,42.366659999999996,-71.05193,Boston,02108,MA
179,,,1.0,2,Private room,1.0,1.0,1.0,85.0,,$100.00,2,1125,12,42.35322,-71.13226999999999,Boston,02134,MA
180,83%,,1.0,4,Entire home/apt,1.0,1.0,2.0,280.0,,,3,1125,77,42.34507,-71.08601,Boston,02115,MA
181,100%,,1.0,2,Entire home/apt,2.0,1.0,1.0,200.0,$70.00,$0.00,2,30,26,42.34952,-71.07101,Boston,02116,MA
182,,,2.0,3,Entire home/apt,1.0,1.0,1.0,160.0,,,3,365,5,42.34322,-71.07211,Boston,02118,MA
183,100%,,2.0,4,Entire home/apt,1.0,1.0,2.0,150.0,$60.00,,180,1125,100,42.35757,-71.06366,Boston,02108,MA
184,100%,,6.0,2,Private room,1.0,1.0,1.0,65.0,,$500.00,4,1125,55,42.28284,-71.07115999999999,Boston,02124,MA
185,90%,,1.0,2,Private room,1.0,1.0,1.0,139.0,$75.00,$100.00,28,1125,51,42.37407,-71.06016,Boston,02129,MA
186,100%,,1.0,2,Private room,1.0,1.5,1.0,75.0,$20.00,$100.00,1,90,258,42.32451,-71.10540999999999,Jamaica Plain,02130,MA
187,100%,,6.0,2,Private room,1.0,1.0,1.0,65.0,,$500.00,4,1124,71,42.28439,-71.06912,Boston,02124,MA
188,50%,,1.0,3,Entire home/apt,1.0,1.0,2.0,175.0,$65.00,,30,1125,42,42.36378,-71.05564,Boston,02113,MA
189,,,2.0,2,Private room,1.0,2.0,1.0,85.0,$10.00,,1,1125,75,42.28195,-71.14102,Boston,02131,MA
190,100%,,4.0,1,Private room,1.0,1.0,1.0,140.0,$24.00,$0.00,2,90,177,42.34623,-71.07364,Boston,02116,MA
191,100%,,21.0,7,Entire home/apt,3.0,2.0,3.0,695.0,$175.00,$650.00,2,75,178,42.34762,-71.08495,Boston,02115,MA
192,100%,,1.0,8,Entire home/apt,4.0,1.5,4.0,249.0,$75.00,$500.00,2,365,93,42.261179999999996,-71.11989,Boston,02136,MA
193,100%,,10.0,10,Entire home/apt,3.0,3.5,5.0,450.0,$300.00,$500.00,28,1125,14,42.31111,-71.08654,Boston,02121,MA
194,100%,,4.0,2,Private room,0.0,1.0,1.0,49.0,$25.00,$100.00,1,14,133,42.2795,-71.09376999999999,Boston,02126,MA
