,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
3333,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,269.0,$85.00,$400.00,2,1125,7,42.35715,-71.05474,Boston,02109,MA
3334,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,279.0,$100.00,$300.00,2,1125,4,42.36292,-71.05301999999999,Boston,02113,MA
3335,,,1.0,1,Private room,1.0,1.5,1.0,98.0,$25.00,$0.00,2,28,0,42.281240000000004,-71.06541,Boston,02124,MA
3336,100%,,1.0,3,Entire home/apt,2.0,1.0,2.0,135.0,,,28,1125,0,42.31495,-71.07765,Boston,02125,MA
3337,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,125.0,$25.00,$0.00,2,1125,5,42.37708,-71.06163000000001,Charlestown,02129,MA
3338,100%,,29.0,8,Entire home/apt,3.0,2.0,4.0,344.0,$95.00,$400.00,2,1125,2,42.35609,-71.06199000000001,Boston,02108,MA
3339,100%,,29.0,8,Entire home/apt,3.0,2.0,4.0,342.0,$95.00,$400.00,2,1125,0,42.355340000000005,-71.06061,Boston,02108,MA
3340,100%,,29.0,10,Entire home/apt,4.0,2.0,5.0,405.0,$95.00,$400.00,2,1125,1,42.35727,-71.06079,Boston,02108,MA
3341,100%,,2.0,1,Private room,1.0,1.0,1.0,55.0,,,91,1125,0,42.330059999999996,-71.05685,Boston,02127,MA
3342,100%,,3.0,5,Entire home/apt,2.0,1.0,2.0,100.0,,,91,1125,0,42.29817,-71.08646,Boston,02124,MA
3343,100%,,2.0,2,Private room,1.0,1.0,1.0,44.0,$15.00,$0.00,1,27,9,42.31666,-71.07481999999999,Boston,02125,MA
3344,100%,,2.0,2,Private room,1.0,1.0,1.0,45.0,$15.00,,1,27,3,42.31749,-71.07418,Boston,02125,MA
3345,100%,,4.0,4,Private room,1.0,1.5,2.0,110.0,,,1,1125,3,42.30892,-71.06588,Boston,02125,MA
3346,100%,,4.0,4,Private room,1.0,1.5,2.0,110.0,,,1,1125,3,42.3092,-71.06475999999999,Boston,02125,MA
3347,95%,,27.0,3,Entire home/apt,1.0,1.0,2.0,299.0,$99.00,$0.00,2,1125,2,42.345659999999995,-71.09561,Boston,02215,MA
3348,100%,,32.0,4,Entire home/apt,1.0,1.0,1.0,150.0,$125.00,$500.00,28,1125,0,42.35353,-71.08058,Boston,02116,MA
3349,99%,,12.0,2,Entire home/apt,1.0,1.0,1.0,124.0,$55.00,$300.00,2,1125,2,42.34921,-71.06949,Boston,02116,MA
3350,100%,,0.0,2,Private room,1.0,1.0,1.0,139.0,$40.00,$300.00,1,1125,0,42.33294,-71.1029,Boston,02120,MA
3351,99%,,22.0,2,Private room,1.0,1.0,1.0,87.0,$55.00,$0.00,2,1125,1,42.364979999999996,-71.06289,Boston,02114,MA
